group,label,n,seed,rel_error,signed_error,clamped,result,exact
cast+accumulation,bf16 in / bf16 sequential,256,6,4.392344e-02,4.392344e-02,0,-91.000000000000000,-95.180661987477600
cast+accumulation,bf16 in / bf16 pairwise,256,6,1.898096e-03,1.898096e-03,0,-95.000000000000000,-95.180661987477600
scaling,e4m3 none,256,6,3.334549e-02,-3.334549e-02,0,-98.354507446289060,-95.180661987477600
scaling,e4m3 per-tensor,256,6,7.643347e-03,7.643347e-03,0,-94.453163146972660,-95.180661987477600
scaling,e4m3 mx32 spec,256,6,3.322156e-02,-3.322156e-02,0,-98.342712402343750,-95.180661987477600
scaling,e4m3 mx32 +1,256,6,3.322156e-02,-3.322156e-02,0,-98.342712402343750,-95.180661987477600
scaling,e2m1 none,256,6,1.148412e-01,1.148412e-01,4,-84.250000000000000,-95.180661987477600
scaling,e2m1 per-tensor,256,6,1.026040e-01,1.026040e-01,0,-85.414749145507810,-95.180661987477600
scaling,e2m1 mx32 spec,256,6,1.214077e-01,1.214077e-01,4,-83.625000000000000,-95.180661987477600
scaling,e2m1 mx32 +1,256,6,2.330375e-01,2.330375e-01,0,-73.000000000000000,-95.180661987477600
rounding,e2m1 mx32 nearest,256,6,1.214077e-01,1.214077e-01,4,-83.625000000000000,-95.180661987477600
rounding,e2m1 mx32 stochastic,256,6,2.356641e-01,2.356641e-01,4,-72.750000000000000,-95.180661987477600
accumulation,fp32 sequential,256,7,6.197874e-08,-6.197874e-08,0,-150.89437866210938,-150.89436930986630
accumulation,fp32 reversed,256,7,6.197874e-08,-6.197874e-08,0,-150.89437866210938,-150.89436930986630
accumulation,fp32 pairwise,256,7,6.197874e-08,-6.197874e-08,0,-150.89437866210938,-150.89436930986630
accumulation,fp32 blocked,256,7,6.197874e-08,-6.197874e-08,0,-150.89437866210938,-150.89436930986630
accumulation,fp16 sequential,256,7,1.785152e-03,1.785152e-03,0,-150.62500000000000,-150.89436930986630
accumulation,fp16 reversed,256,7,1.785152e-03,1.785152e-03,0,-150.62500000000000,-150.89436930986630
accumulation,fp16 pairwise,256,7,1.283634e-04,1.283634e-04,0,-150.87500000000000,-150.89436930986630
accumulation,fp16 blocked,256,7,4.422960e-05,4.422960e-05,0,-150.88769531250000,-150.89436930986630
accumulation,bf16 sequential,256,7,1.255427e-02,1.255427e-02,0,-149.00000000000000,-150.89436930986630
accumulation,bf16 reversed,256,7,4.046295e-02,-4.046295e-02,0,-157.00000000000000,-150.89436930986630
accumulation,bf16 pairwise,256,7,7.000307e-04,-7.000307e-04,0,-151.00000000000000,-150.89436930986630
accumulation,bf16 blocked,256,7,6.482561e-04,-6.482561e-04,0,-150.99218750000000,-150.89436930986630
cast+accumulation,bf16 in / fp32 sequential,256,7,5.816165e-04,-5.816165e-04,0,-150.98213195800780,-150.89436930986630
cast+accumulation,bf16 in / fp32 pairwise,256,7,5.817176e-04,-5.817176e-04,0,-150.98214721679688,-150.89436930986630
cast+accumulation,bf16 in / fp16 sequential,256,7,1.283634e-04,1.283634e-04,0,-150.87500000000000,-150.89436930986630
cast+accumulation,bf16 in / fp16 pairwise,256,7,7.000307e-04,-7.000307e-04,0,-151.00000000000000,-150.89436930986630
cast+accumulation,bf16 in / bf16 sequential,256,7,5.927122e-03,5.927122e-03,0,-150.00000000000000,-150.89436930986630
cast+accumulation,bf16 in / bf16 pairwise,256,7,7.000307e-04,-7.000307e-04,0,-151.00000000000000,-150.89436930986630
scaling,e4m3 none,256,7,9.902847e-03,9.902847e-03,0,-149.40008544921875,-150.89436930986630
scaling,e4m3 per-tensor,256,7,7.837952e-03,-7.837952e-03,0,-152.07707214355470,-150.89436930986630
scaling,e4m3 mx32 spec,256,7,8.972522e-03,8.972522e-03,3,-149.54046630859375,-150.89436930986630
scaling,e4m3 mx32 +1,256,7,9.904465e-03,9.904465e-03,0,-149.39984130859375,-150.89436930986630
scaling,e2m1 none,256,7,3.505391e-01,3.505391e-01,7,-98.000000000000000,-150.89436930986630
scaling,e2m1 per-tensor,256,7,5.668287e-02,-5.668287e-02,0,-159.44749450683594,-150.89436930986630
scaling,e2m1 mx32 spec,256,7,9.845053e-02,-9.845053e-02,7,-165.75000000000000,-150.89436930986630
scaling,e2m1 mx32 +1,256,7,2.326504e-01,-2.326504e-01,0,-186.00000000000000,-150.89436930986630
rounding,e2m1 mx32 nearest,256,7,9.845053e-02,-9.845053e-02,7,-165.75000000000000,-150.89436930986630
rounding,e2m1 mx32 stochastic,256,7,1.216456e-01,-1.216456e-01,7,-169.25000000000000,-150.89436930986630
accumulation,fp32 sequential,256,8,2.948749e-07,-2.948749e-07,0,-68.018104553222660,-68.018084496393560
accumulation,fp32 reversed,256,8,1.537936e-07,1.537936e-07,0,-68.018074035644530,-68.018084496393560
accumulation,fp32 pairwise,256,8,4.162650e-08,4.162650e-08,0,-68.018081665039060,-68.018084496393560
accumulation,fp32 blocked,256,8,1.827078e-07,-1.827078e-07,0,-68.018096923828120,-68.018084496393560
accumulation,fp16 sequential,256,8,4.328489e-03,-4.328489e-03,0,-68.312500000000000,-68.018084496393560
accumulation,fp16 reversed,256,8,6.529955e-04,-6.529955e-04,0,-68.062500000000000,-68.018084496393560
accumulation,fp16 pairwise,256,8,2.658778e-04,2.658778e-04,0,-68.000000000000000,-68.018084496393560
accumulation,fp16 blocked,256,8,1.586758e-03,1.586758e-03,0,-67.910156250000000,-68.018084496393560
accumulation,bf16 sequential,256,8,1.496785e-02,1.496785e-02,0,-67.000000000000000,-68.018084496393560
accumulation,bf16 reversed,256,8,7.616864e-03,7.616864e-03,0,-67.500000000000000,-68.018084496393560
accumulation,bf16 pairwise,256,8,2.658778e-04,2.658778e-04,0,-68.000000000000000,-68.018084496393560
accumulation,bf16 blocked,256,8,1.571869e-03,-1.571869e-03,0,-68.125000000000000,-68.018084496393560
cast+accumulation,bf16 in / fp32 sequential,256,8,1.728650e-03,1.728650e-03,0,-67.900505065917970,-68.018084496393560
cast+accumulation,bf16 in / fp32 pairwise,256,8,1.729098e-03,1.729098e-03,0,-67.900474548339840,-68.018084496393560
cast+accumulation,bf16 in / fp16 sequential,256,8,1.571869e-03,-1.571869e-03,0,-68.125000000000000,-68.018084496393560
cast+accumulation,bf16 in / fp16 pairwise,256,8,1.184751e-03,1.184751e-03,0,-67.937500000000000,-68.018084496393560
cast+accumulation,bf16 in / bf16 sequential,256,8,1.496785e-02,1.496785e-02,0,-67.000000000000000,-68.018084496393560
cast+accumulation,bf16 in / bf16 pairwise,256,8,2.658778e-04,2.658778e-04,0,-68.000000000000000,-68.018084496393560
scaling,e4m3 none,256,8,4.570112e-02,-4.570112e-02,0,-71.126586914062500,-68.018084496393560
scaling,e4m3 per-tensor,256,8,2.791160e-02,2.791160e-02,0,-66.119590759277340,-68.018084496393560
scaling,e4m3 mx32 spec,256,8,1.805999e-02,-1.805999e-02,2,-69.246490478515620,-68.018084496393560
scaling,e4m3 mx32 +1,256,8,4.562619e-02,-4.562619e-02,0,-71.121490478515620,-68.018084496393560
scaling,e2m1 none,256,8,3.861927e-01,3.861927e-01,8,-41.750000000000000,-68.018084496393560
scaling,e2m1 per-tensor,256,8,2.586714e-01,-2.586714e-01,1,-85.612419128417970,-68.018084496393560
